Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field
-27.44462849,151.3795648,97,133,684,5.8,453,6,1170,184,label_1
-27.18591722,151.159983,39,34,65,2.2,204,0.1,133,17.5,label_1
-26.84135524,150.4440079,12,11,79,0.8,129,0.1,92,4.1,label_1
-27.55535965,151.3699837,38,27,88,1.8,378,5.1,46,8.9,label_1
-27.21702802,151.187483,57,72,569,3.4,427,2.2,821,138,label_1
-28.22627959,152.0589985,83,59,44.5,1.5,500,6.2,85,7.9,label_1
-26.77042197,150.9377784,15,7.8,660,5.2,810,5.1,630,3.1,label_1
-26.69644197,150.8616896,125,190,1400,6,630,11.5,2500,180,label_1
-27.14867481,151.1737899,33,46,780,2,880,31.5,780,175,label_1
-27.3843791,151.2950764,42,64,445,2,445,2.9,580,180,label_1
-27.11742862,151.1907881,3.7,7.4,66.1,2.7,26.6,0,110.2,9.1,label_1
-27.40455738,151.2858324,41,36,145,2,475,3.1,100,52,label_1
-27.19460969,151.2960258,69,72,710,4.5,550,6.2,1100,92,label_1
-27.75382222,151.4497463,62,31,86,1.3,465,0.3,82,5,label_1
-27.42838885,151.268929,30,27,140,1,465,2.6,75,24,label_1
-27.21331078,151.1939928,9.1,2.9,396,3.7,489.5,7,309,31,label_1
-27.20751586,151.1966393,15,7.8,660,5.2,810,5.1,630,3.1,label_1
-28.24059275,152.0875889,37.5,15.5,47.5,8.2,160,0.4,100,0,label_1
-28.2259952,152.0505176,85,55,54,1,480,3.6,125,2.1,label_1
-27.82357254,151.5153139,78,74,149,1.5,532,2,280,23,label_1
-27.10294275,151.0168812,44,49,700,4.6,315,4.4,1100,4,label_1
-27.22755523,151.0552068,38,20,275,2.8,320,2.1,360,2,label_1
-27.82914966,151.5508737,62,60,465,1.5,620,3,600,78,label_1
-27.19530662,151.03619,22,13,380,3,360,2,460,2,label_1
-27.11641891,151.0970068,33,35,360,2.8,390,3.3,400,140,label_1
-27.24175058,151.158039,18,14,230,1,465,4.1,120,62,label_1
-27.61813284,151.23541,20,9.4,86,1.2,260,0.9,41,3,label_1
-27.16717339,151.2189916,82.2,110,998,1.1,361.1,11.3,1661,170,label_1
-28.34801448,152.1488179,86.8,42.1,45.1,1.7,273.1,1,126.4,22.5,label_1
-27.2375839,151.1588724,23,25,300,2,450,3.4,265,70,label_1
-27.38167739,151.2170642,27,17,81,1.3,295,1,56,8.7,label_1
-27.70803457,151.321293,34,18,92,2,235,0.6,115,2.6,label_1
-27.71300566,151.3124882,34,18,102,2,227,0.4,142,5,label_1
-27.69840705,151.3176029,34,18,93,2,235,0.6,125,4,label_1
-27.19825051,151.1145604,34,34,300,0.8,475,6.7,330,61,label_1
-27.24760138,151.1793724,26,31,318,2,421,2.9,340,70,label_1
-27.27297778,151.1107924,160,78,520,2,780,2.5,810,130,label_1
-27.06979958,150.9986962,46,46,912,6,484,1.7,1380,15,label_1
-28.20046283,152.0147846,76,51,140,2,580,5.1,150,8.5,label_1
-27.59063829,151.2922073,28,14,90,1.1,320,3.4,54,3.1,label_1
-27.66402757,151.2363874,15,8,62,1,200,0.1,31,3,label_1
-27.66796568,151.2410795,14,8,68,1,210,1,35,4,label_1
-27.26144722,151.170609,14,15,204,1.3,358,7.6,144,30,label_1
-27.7246617,151.3375264,37,20,100,1.8,271,0.6,123,1,label_1
-27.80622523,151.5035316,31.5,31,165,1.7,470,6.9,130,10,label_1
-27.55890528,151.2565397,25.5,13,100,1,300,1.8,69,7.1,label_1
-27.09768691,151.2297609,21,19,250,1.3,470,3.5,195,11,label_1
-27.21953935,151.1218856,41,30,340,1.3,445,11.5,360,100,label_1
-27.08318809,151.1436161,46,62,690,4,370,7,1050,100,label_1
-27.14195149,151.186992,42,52,716,5,418,4.4,1050,50,label_1
-27.48884443,151.3103922,38,35,111,1,459,1.9,60,38,label_1
-27.25541199,151.155568,19,16,222,1.5,397,2.7,180,35,label_1
-27.23036162,151.1638723,24,31,325,2,435,2.8,350,71,label_1
-27.49306666,151.2649765,33,20,122,1.2,401,0.5,59,5,label_1
-27.37464312,151.2097341,24,15,72,1.2,266,0.7,46,3,label_1
-27.58728166,151.3760762,39,24,86,1.5,370,2.1,55,4,label_1
-27.55228441,151.2481616,25,14,113,1,314,1.6,75,11,label_1
-27.26778841,151.178448,20,20,170,1.3,360,2.3,130,30,label_1
-27.65817208,151.2726657,17,8.4,86,1.4,235,1,45,3.9,label_1
-27.77701417,151.480959,41,31.5,150,1.5,495,3,86,11.5,label_1
-27.49725564,151.3716215,47,46,171,4,463,1.3,197,34,label_1
-27.47654272,151.3801357,49,76,358,7,475,0.7,486,112,label_1
-27.70119279,151.4083172,49,26,76,1.8,405,2.3,63,2,label_1
-27.55223561,151.2903238,33,20,95,1.5,355,2,64,6,label_1
-27.69763099,151.3457184,44,23,89,2,310,1,110,3,label_1
-27.76704877,151.3977894,63,29,100,2.5,280,1.5,105,12,label_1
-27.5972569,151.2871355,27,14,105,1,310,1.3,80,5,label_1
-27.37485866,151.22821,3.2,24,485,1.5,156,206.4,416,3,label_1
-27.84934446,151.4009166,55,35.5,130,1,445,2.2,130,10,label_1
-26.84014249,150.8774881,135,180,1550,2.8,810,6,2650,210,label_1
-27.56765358,151.2392863,50,22,133,2,407,0.9,110,22,label_1
-27.62258193,151.396928,108,212,2220,1.5,561,2.2,3900,14,label_1
-27.33047318,151.351984,30,39,433,1,720,2.8,370,107,label_1
-28.22395523,152.0496131,115,73,63,0.7,540,4.4,210,4.8,label_1
-28.2112445,152.0381915,280.2,153.6,372.6,2.7,499,2.7,1134,43.7,label_1
-27.58953158,151.3067504,41,23,73,1.1,370,5.1,50,2.9,label_1
-27.65497443,151.3229532,32.5,17,74,1.1,325,1.6,49,2,label_1
-27.46662124,151.3972523,94,148,900,6,549,0,1520,270,label_1
-27.63355173,151.3171606,34,18,85,1.3,335,1.1,39,3.2,label_1
-27.53976626,151.288888,30,19,92,1,345,4.2,54,7,label_1
-28.08205865,151.8128452,130,105,165,1.8,355,2.2,590,6.9,label_1
-28.23210943,152.0640662,46,27,213,1,357,1.3,255,8,label_1
-28.18430649,151.9757944,62,45,61,0.9,365,5.5,110,7,label_1
-27.07881173,151.1340005,46,61,740,4,385,4.6,1050,100,label_1
-27.60301054,151.3125908,46,23,66,1.2,365,2.5,51,2,label_1
-27.43418056,151.5054981,36,59,518,2,701,3.1,530,150,label_1
-27.13687737,151.1464849,54,105,890,7,240,2.2,1650,91,label_1
-27.59963065,151.2378711,22,10,92,1.5,285,1.9,57,5,label_1
-27.17320128,151.113602,96,82,548,4,359,3.4,1000,80,label_1
-27.69163446,151.328582,35,18,92,1.5,252,4.4,93,4.7,label_1
-27.15840855,151.1826848,36,33,467,1,598,5.6,460,106,label_1
-27.65230654,151.3077212,29,14.5,85,1.4,250,3,93,2.5,label_1
-27.29009885,151.2512103,43,58,420,3.9,460,7.2,580,100,label_1
-27.12979714,151.2466318,51,49,310,4.2,495,6.6,415,38,label_1
-27.56848826,151.3133427,36,24,100,1,400,4.9,60,7,label_1
-27.55939843,151.2666977,24,12,94,0.9,295,10,53,5.3,label_1
-27.67555349,151.2792535,18,9.2,83,1.6,220,0.8,59,6,label_1
-27.62647181,151.2558191,20,10,89,1.3,243,0.5,65,6,label_1
-27.44465765,151.5511732,9.9,20.6,399.3,0.1,638.3,18.4,243.6,66.4,label_1
-27.79828005,151.4322828,74,34.5,110,2.4,540,6.3,80,3.8,label_1
-27.61535876,151.247387,17,9.1,90,1.2,245,0.6,60,5,label_1
-27.33850056,151.1896215,52,36,170,0,470,2.8,170,38,label_1
-27.69588351,151.3784064,71,32,85,1.8,400,1.5,125,13,label_1
-27.66415368,151.3875076,47,24,81,2,388,1.2,65,5,label_1
-27.27552331,151.1507195,49,29,250,2,560,4.3,205,56,label_1
-27.1192504,151.2549806,43,41,315,2.3,640,8.5,290,45,label_1
-27.56072228,151.3128508,38,27,101,1,425,0.8,54,10,label_1
-27.69449087,151.3518326,57,30,87,1.3,351,1.2,130,2,label_1
-27.68421371,151.3457973,50,28,88,1,351,1.5,115,1,label_1
-27.67722155,151.3434485,55,31,100,1,363,1.6,145,1,label_1
-27.57420286,151.3768517,165,100,190,0.7,195,2,415,500,label_1
-27.48446069,151.3053844,44,36,106,1,444,0.9,48,35,label_1
-27.5571372,151.2508027,26.5,13,105,1.2,315,1.2,70,7.6,label_1
-27.44360898,151.3737045,66,83,420,4,465,2.3,700,105,label_1
