ID,Y,X,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,cat_hex,an_hex,diamond_hex,Ca_meqL,Mg_meqL,Na_meqL,K_meqL,HCO3_meqL,CO3_meqL,Cl_meqL,SO4_meqL,anions,cations,NaK_meqL,NaK,EC,CBE,maj_cation,maj_anion,water_type,Alkcalc,TDScalc
0,-27.44462849,151.3795648,97.0,133.0,684.0,5.8,453.0,6.0,1170.0,184.0,#5cff80,#58ff43,#60aaff,4.840560906232845,10.944250154289241,29.752366357068063,0.14834404564904355,7.424143445595779,0.19996933803483466,33.00171778172043,3.8307954313600576,44.456625996711104,75.5862318659563,29.900710402717106,687.7163392624934,-31.12960586924519,-0.2593207661288636,Na,Cl,Na-Cl,465.0,2550.7163392624934
1,-27.18591722,151.159983,39.0,34.0,65.0,2.2,204.0,0.1,133.0,17.5,#d2fffb,#ecff49,#edbfff,1.9462049004441337,2.797778234931084,2.8273447561541287,0.0562684311082579,3.3433228761623375,0.003332822300580578,3.7514773204861687,0.364341956786962,7.46247497573605,10.511209509899992,2.8836131872623865,66.32310330703488,-3.048734534163942,-0.16962212375544852,Na,Cl,Na-Cl,204.2,412.3431033070349
2,-26.84135524,150.4440079,12.0,11.0,79.0,0.8,129.0,0.1,92.0,4.1,#56ff66,#ddff3b,#a0ffbb,0.5988322770597335,0.9051635465953508,3.436311319018095,0.020461247675730147,2.1141600540438312,0.003332822300580578,2.595006868306222,0.08536011559008823,4.797859860240723,8.417540957042736,3.456772566693825,79.50576903395798,-3.6196810968020126,-0.27389869946797946,Na,Cl,Na-Cl,129.2,276.12576903395797
3,-27.55535965,151.36998369999998,38.0,27.0,88.0,1.8,378.0,5.1,46.0,8.9,#b1ffbc,#ff4824,#fff96c,1.896302210689156,2.221765068915861,3.8277898237163592,0.046037807270392826,6.194980623477273,0.16997393732960944,1.297503434153111,0.18529390945165497,7.8477519044116475,11.86572254157852,3.873827630986752,89.0980355126953,-4.017970637166873,-0.20381849217777798,Na,HCO3,Na-HCO3,388.2,441.91803551269527
4,-27.21702802,151.18748300000001,57.0,72.0,569.0,3.4,427.0,2.2,821.0,138.0,#43ff5a,#6eff4c,#63e8ff,2.844453316033734,5.924706850442296,24.750141019256912,0.08696030262185311,6.998033667261363,0.07332209061277271,23.15761563999357,2.8730965735200433,33.10206797138775,58.443362810233566,24.837101321878766,571.2533304032116,-25.34129483884582,-0.2768165993920184,Na,Cl,Na-Cl,431.4,1918.0933304032117
5,-28.22627959,152.0589985,83.0,59.0,44.5,1.5,500.0,6.2,85.0,7.9,#e9a1ff,#ff5f29,#ff546e,4.141923249663156,4.854968113556882,1.9356437176747499,0.038364839391994025,8.194418814123376,0.20663498263599583,2.397560693543792,0.16447436906382856,10.96308885936699,12.944908477353527,1.9740085570667438,45.40219681253511,-1.9818196179865364,-0.08289358535868,Mg,HCO3,Mg-HCO3,512.4,587.7421968125351
6,-26.77042197,150.93777839999998,15.0,7.8,660.0,5.2,810.0,5.1,630.0,3.1,#0bff0a,#d2ff37,#34ff50,0.7485403463246668,0.6418432421312487,28.708423677872695,0.13299810989224595,13.274958478879869,0.16997393732960944,17.770155728618693,0.06454057520226184,31.279628720030434,59.07322716398579,28.84142178776494,663.3527011185936,-27.793598443955357,-0.30761173149450116,Na,Cl,Na-Cl,820.2,1811.3727011185933
7,-26.69644197,150.8616896,125.0,190.0,1400.0,6.0,630.0,11.5,2500.0,180.0,#41ff5e,#3aff26,#46bdff,6.237836219372224,15.634643077556058,60.89665628639662,0.1534593575679761,10.324967705795453,0.38327456456676645,70.51649098658213,3.747517269808752,84.9722505267531,143.97271058485748,61.050115643964595,1404.1526598111857,-59.00046005810438,-0.25770586857048877,Na,Cl,Na-Cl,653.0,4790.952659811186
8,-27.14867481,151.1737899,33.0,46.0,780.0,2.0,880.0,31.5,780.0,175.0,#20ff2c,#c9ff60,#55ff8d,1.6467887619142672,3.7852293766714666,33.92813707384955,0.051153119189325365,14.422177112857142,1.049839024682882,22.001145187813623,3.64341956786962,41.116580893223265,73.39059852466347,33.97929019303887,781.5236744398941,-32.27401763144021,-0.2818514768725393,Na,Cl,Na-Cl,943.0,2381.3236744398937
9,-27.384379100000004,151.2950764,42.0,64.0,445.0,2.0,445.0,2.9,580.0,180.0,#44ff63,#99ff73,#76fcff,2.095912969709067,5.266406089282041,19.356437176747498,0.051153119189325365,7.293032744569805,0.09665184671683674,16.359825908887053,3.747517269808752,27.497027769982452,46.17749965086476,19.407590295936824,446.37457680654694,-18.68047188088231,-0.2535540102507181,Na,Cl,Na-Cl,450.8,1582.854576806547
10,-27.11742862,151.1907881,3.7,7.4,66.1,2.7,26.6,0.0,110.2,9.1,#2fff4c,#37ff27,#3dd2ff,0.18463995209341783,0.608928204073236,2.8751921289505833,0.06905671090558925,0.43594308091136363,0.0,3.10836692268854,0.18945781752922022,3.733767821129124,6.6820658358789995,2.9442488398561726,67.71772331669197,-2.9482980147498754,-0.28305924536017923,Na,Cl,Na-Cl,26.6,214.07772331669196
11,-27.40455738,151.2858324,41.0,36.0,145.0,2.0,475.0,3.1,100.0,52.0,#8bffa2,#ff7c53,#eaffa9,2.0460102799540896,2.962353425221148,6.307153686805364,0.051153119189325365,7.784697873417207,0.10331749131799792,2.820659639463285,1.0826161001669727,11.791291104365463,17.724977317164615,6.3583068059946894,146.24105653787785,-5.933686212799152,-0.20103104254435286,Na,HCO3,Na-HCO3,481.2,663.9610565378778
12,-27.19460969,151.29602580000002,69.0,72.0,710.0,4.5,550.0,6.2,1100.0,92.0,#3cff4c,#64ff36,#5ef9ff,3.4432855930934676,5.924706850442296,30.883304259529716,0.11509451817598207,9.013860695535714,0.20663498263599583,31.027256034096133,1.9153977156800288,42.16314942794787,71.36478999894716,30.9983987777057,712.963171887231,-29.201640570999288,-0.2572198589916567,Na,Cl,Na-Cl,562.4,2383.403171887231
13,-27.75382222,151.44974630000002,62.0,31.0,86.0,1.3,465.0,0.3,82.0,5.0,#e8ffd6,#ff6429,#ffd081,3.093966764808623,2.5509154494959887,3.7407946004500783,0.03324952747306149,7.62080949713474,0.009998466901741733,2.3129409043598934,0.104097701939132,10.047846570335507,13.19297047015089,3.7740441279231396,86.80301494223221,-3.145123899815383,-0.13532759602799058,Na,HCO3,Na-HCO3,465.6,546.1630149422322
14,-27.42838885,151.268929,30.0,27.0,140.0,1.0,465.0,2.6,75.0,24.0,#72ff86,#ff5f35,#d7ff7f,1.4970806926493336,2.221765068915861,6.089665628639662,0.025576559594662682,7.62080949713474,0.08665337981509502,2.1154947295974638,0.4996689693078336,10.322626575855132,15.949330138033847,6.115242188234325,140.6505703293895,-5.626703562178715,-0.2141714689718597,Na,HCO3,Na-HCO3,470.2,578.7705703293896
15,-27.21331078,151.19399280000002,9.1,2.9,396.0,3.7,489.5,7.0,309.0,31.0,#0bff08,#f6ff43,#32ff3e,0.45411447677029787,0.23863402592059246,17.225054206723616,0.09463327050025193,8.022336019026785,0.23329756104064042,8.715838285941551,0.6454057520226184,17.616877618031594,35.33212345713863,17.31968747722387,398.352811976149,-17.715245839107034,-0.33457186121334365,Na,Cl,Na-Cl,503.5,1052.452811976149
16,-27.20751586,151.19663930000002,15.0,7.8,660.0,5.2,810.0,5.1,630.0,3.1,#0bff0a,#d2ff37,#34ff50,0.7485403463246668,0.6418432421312487,28.708423677872695,0.13299810989224595,13.274958478879869,0.16997393732960944,17.770155728618693,0.06454057520226184,31.279628720030434,59.07322716398579,28.84142178776494,663.3527011185936,-27.793598443955357,-0.30761173149450116,Na,Cl,Na-Cl,820.2,1811.3727011185933
17,-28.24059275,152.0875889,37.5,15.5,47.5,8.2,160.0,0.4,100.0,0.0,#e7ffc3,#f4ff38,#f9d7ff,1.871350865811667,1.2754577247479943,2.066136552574171,0.20972778867623398,2.6222140205194804,0.013331289202322311,2.820659639463285,0.0,5.456204949185088,7.698537273060472,2.275864341250405,52.34487984875932,-2.2423323238753836,-0.17045809685905117,Na,Cl,Na-Cl,160.8,301.82487984875934
